Model,Accuracy (test set),Accuracy (test set),Training time (sec),Training time (sec),Precision,Precision,Recall,Recall,F1 score,F1 score,F2 score,F2 score,ROC-AUC score,ROC-AUC score
,TFIDF using Lemma,BOW using Lemma,TFIDF using Lemma,BOW using Lemma,TFIDF using Lemma,BOW using Lemma,TFIDF using Lemma,BOW using Lemma,TFIDF using Lemma,BOW using Lemma,TFIDF using Lemma,BOW using Lemma,TFIDF using Lemma,BOW using Lemma
MultinomialNB,0.9650224215246636,0.9838565022421524,0.1,0.28,1.0,0.9302325581395348,0.7650602409638554,0.963855421686747,0.8668941979522184,0.9467455621301776,0.8027812895069532,0.9569377990430622,0.8825301204819277,0.9756052661647644
Random Forest,0.9757847533632288,0.9730941704035876,21.24,21.72,0.9929078014184396,0.9927536231884058,0.8433734939759037,0.8253012048192772,0.9120521172638436,0.9013157894736844,0.8695652173913042,0.8541147132169576,0.9211598765980678,0.9121237320197544
