,Model,Accuracy (test set),Training time (sec),Precision,Recall,F1 score,F2 score,ROC-AUC score
0,MultinomialNB,0.9838565022421525,0.28,0.9302325581395349,0.963855421686747,0.9467455621301776,0.9569377990430622,0.9756052661647645
1,Random Forest,0.9730941704035875,21.72,0.9927536231884058,0.8253012048192772,0.9013157894736843,0.8541147132169576,0.9121237320197545
