Model,Accuracy (test set),Accuracy (test set),Training time (sec),Training time (sec),Precision,Precision,Recall,Recall,F1 score,F1 score,F2 score,F2 score,ROC-AUC score,ROC-AUC score
,BOW using Stemming,BOW using Lemma,BOW using Stemming,BOW using Lemma,BOW using Stemming,BOW using Lemma,BOW using Stemming,BOW using Lemma,BOW using Stemming,BOW using Lemma,BOW using Stemming,BOW using Lemma,BOW using Stemming,BOW using Lemma
MultinomialNB,,,0.18,0.28,,,,,,,,,,
Random Forest,0.9721973094170404,0.9730941704035876,19.39,21.72,0.9927007299270072,0.9927536231884058,0.8192771084337349,0.8253012048192772,0.8976897689768976,0.9013157894736844,0.8489388264669164,0.8541147132169576,0.9091116838269834,0.9121237320197544
