,Model,Accuracy (test set),Training time (sec),Precision,Recall,F1 score,F2 score,ROC-AUC score
0,MultinomialNB,0.9650224215246637,0.1,1.0,0.7650602409638554,0.8668941979522184,0.8027812895069532,0.8825301204819277
1,Random Forest,0.9757847533632287,21.24,0.9929078014184397,0.8433734939759037,0.9120521172638437,0.8695652173913042,0.9211598765980678
