,Model,Accuracy (test set),Training time (sec),Precision,Recall,F1 score,F2 score,ROC-AUC score
0,MultinomialNB,0.9838565022421525,0.18,0.9302325581395349,0.963855421686747,0.9467455621301776,0.9569377990430622,0.9756052661647645
1,Random Forest,0.9721973094170404,19.39,0.9927007299270073,0.8192771084337349,0.8976897689768976,0.8489388264669164,0.9091116838269834
