Model,Accuracy (test set),Accuracy (test set),Training time (sec),Training time (sec),Precision,Precision,Recall,Recall,F1 score,F1 score,F2 score,F2 score,ROC-AUC score,ROC-AUC score
,TFIDF using Stemming,TFIDF using Lemma,TFIDF using Stemming,TFIDF using Lemma,TFIDF using Stemming,TFIDF using Lemma,TFIDF using Stemming,TFIDF using Lemma,TFIDF using Stemming,TFIDF using Lemma,TFIDF using Stemming,TFIDF using Lemma,TFIDF using Stemming,TFIDF using Lemma
MultinomialNB,0.9623318385650224,0.9650224215246636,0.16,0.1,0.992063492063492,1.0,0.7530120481927711,0.7650602409638554,0.8561643835616438,0.8668941979522184,0.7911392405063292,0.8027812895069532,0.8759791537065015,0.8825301204819277
Random Forest,0.9766816143497756,0.9757847533632288,25.95,21.24,1.0,0.9929078014184396,,,0.9150326797385622,0.9120521172638436,0.8706467661691543,0.8695652173913042,0.9216867469879518,0.9211598765980678
