,Model,Accuracy (test set),Training time (sec),Precision,Recall,F1 score,F2 score,ROC-AUC score
0,MultinomialNB,0.9623318385650225,0.16,0.9920634920634921,0.7530120481927711,0.8561643835616438,0.7911392405063292,0.8759791537065015
1,Random Forest,0.9766816143497757,25.95,1.0,0.8433734939759037,0.9150326797385622,0.8706467661691543,0.9216867469879518
